Batch_ID,DR_Product_Category,DR_Dealer_Name,DR_Received_Quantity,DR_Receipt_Date,DR_City,DR_Transit
BF2025010001,Biscuit,Dealer16,1118,08-01-2025,Delhi,2
BF2025010001,Biscuit,Dealer7,585,12-01-2025,Kolkata,3
BF2025010001,Biscuit,Dealer19,2710,15-01-2025,Pune,3
BF2025010001,Biscuit,Dealer6,616,17-01-2025,Bangalore,2
BF2025010001,Biscuit,Dealer21,2346,11-01-2025,Chennai,1
BF2025010001,Biscuit,Dealer14,4076,18-01-2025,Ahmedabad,2
BF2025010001,Biscuit,Dealer1,672,19-01-2025,Delhi,1
BF2025010002,Biscuit,Dealer27,1112,12-01-2025,Ahmedabad,2
BF2025010002,Biscuit,Dealer14,1462,14-01-2025,Mumbai,1
BF2025010002,Biscuit,Dealer20,1187,15-01-2025,Kolkata,3
BF2025010002,Biscuit,Dealer5,973,17-01-2025,Delhi,1
BF2025010002,Biscuit,Dealer26,319,17-01-2025,Pune,3
BF2025010003,Biscuit,Dealer17,3510,30-01-2025,Mumbai,2
BF2025010003,Biscuit,Dealer28,2569,31-01-2025,Ahmedabad,2
BF2025010003,Biscuit,Dealer30,752,05-02-2025,Delhi,2
BF2025010003,Biscuit,Dealer22,3825,09-02-2025,Pune,3
BF2025010003,Biscuit,Dealer14,2545,11-02-2025,Kolkata,2
BF2025010004,Biscuit,Dealer12,2458,01-02-2025,Kolkata,3
BF2025010004,Biscuit,Dealer28,1261,01-02-2025,Bangalore,2
BF2025010004,Biscuit,Dealer2,2011,05-02-2025,Chennai,3
BF2025010004,Biscuit,Dealer23,917,04-02-2025,Bangalore,3
BF2025010004,Biscuit,Dealer17,2105,13-02-2025,Kolkata,3
BF2025010004,Biscuit,Dealer14,2375,11-02-2025,Chennai,3
BF2025010004,Biscuit,Dealer8,2190,07-02-2025,Pune,3
BF2025010005,Biscuit,Dealer17,2532,10-01-2025,Bangalore,3
BF2025010005,Biscuit,Dealer1,9908,10-01-2025,Kolkata,1
BF2025010005,Biscuit,Dealer13,5036,14-01-2025,Hyderabad,1
BF2025010005,Biscuit,Dealer21,1313,17-01-2025,Bangalore,1
BF2025010006,Biscuit,Dealer25,341,24-01-2025,Mumbai,1
BF2025010006,Biscuit,Dealer7,1059,28-01-2025,Chennai,2
BF2025010006,Biscuit,Dealer14,916,28-01-2025,Delhi,1
BF2025010006,Biscuit,Dealer18,1873,29-01-2025,Chennai,3
BF2025010006,Biscuit,Dealer26,1094,05-02-2025,Kolkata,1
BF2025010006,Biscuit,Dealer27,1467,04-02-2025,Pune,2
BF2025010006,Biscuit,Dealer16,754,30-01-2025,Kolkata,1
BF2025010007,Chocolate,Dealer26,4588,29-01-2025,Pune,1
BF2025010007,Chocolate,Dealer3,5836,03-02-2025,Kolkata,3
BF2025010007,Chocolate,Dealer27,856,02-02-2025,Bangalore,1
BF2025010007,Chocolate,Dealer5,2557,07-02-2025,Pune,1
BF2025010008,Chocolate,Dealer21,3846,30-01-2025,Chennai,1
BF2025010008,Chocolate,Dealer16,4205,04-02-2025,Delhi,3
BF2025010008,Chocolate,Dealer15,2341,06-02-2025,Pune,2
BF2025010008,Chocolate,Dealer1,879,07-02-2025,Chennai,3
BF2025010008,Chocolate,Dealer7,3542,13-02-2025,Pune,3
BF2025010009,Chocolate,Dealer3,1788,14-01-2025,Bangalore,1
BF2025010009,Chocolate,Dealer9,1081,18-01-2025,Hyderabad,2
BF2025010009,Chocolate,Dealer25,534,19-01-2025,Bangalore,2
BF2025010009,Chocolate,Dealer13,40,17-01-2025,Chennai,1
BF2025010009,Chocolate,Dealer12,1876,22-01-2025,Kolkata,1
BF2025010010,Chocolate,Dealer9,1456,10-01-2025,Bangalore,2
BF2025010010,Chocolate,Dealer6,988,14-01-2025,Ahmedabad,3
BF2025010010,Chocolate,Dealer14,4018,15-01-2025,Ahmedabad,3
BF2025010010,Chocolate,Dealer17,12934,14-01-2025,Hyderabad,3
BF2025010011,Chocolate,Dealer22,158,01-02-2025,Pune,1
BF2025010011,Chocolate,Dealer15,1459,06-02-2025,Bangalore,3
BF2025010011,Chocolate,Dealer19,2290,05-02-2025,Bangalore,3
BF2025010011,Chocolate,Dealer1,1559,05-02-2025,Kolkata,2
BF2025010011,Chocolate,Dealer16,529,14-02-2025,Hyderabad,2
BF2025010011,Chocolate,Dealer4,727,07-02-2025,Delhi,2
BF2025010011,Chocolate,Dealer9,2201,14-02-2025,Hyderabad,2
BF2025010012,Chocolate,Dealer7,3398,05-01-2025,Chennai,1
BF2025010012,Chocolate,Dealer29,4522,08-01-2025,Hyderabad,3
BF2025010012,Chocolate,Dealer19,2480,07-01-2025,Mumbai,1
BF2025010012,Chocolate,Dealer9,992,10-01-2025,Mumbai,3
BF2025010012,Chocolate,Dealer6,3655,19-01-2025,Ahmedabad,3
BF2025010012,Chocolate,Dealer24,4338,21-01-2025,Pune,2
BF2025010013,Flour,Dealer28,2009,08-01-2025,Delhi,2
BF2025010013,Flour,Dealer16,5717,11-01-2025,Bangalore,2
BF2025010013,Flour,Dealer12,5608,13-01-2025,Chennai,3
BF2025010013,Flour,Dealer20,3657,17-01-2025,Delhi,2
BF2025010014,Flour,Dealer17,7529,20-01-2025,Mumbai,2
BF2025010014,Flour,Dealer26,260,24-01-2025,Ahmedabad,3
BF2025010014,Flour,Dealer14,2781,23-01-2025,Pune,1
BF2025010014,Flour,Dealer16,6891,22-01-2025,Chennai,1
BF2025010015,Flour,Dealer19,1327,24-01-2025,Hyderabad,2
BF2025010015,Flour,Dealer4,571,27-01-2025,Bangalore,3
BF2025010015,Flour,Dealer11,1136,29-01-2025,Delhi,3
BF2025010015,Flour,Dealer12,1478,01-02-2025,Delhi,1
BF2025010015,Flour,Dealer20,882,06-02-2025,Chennai,3
BF2025010015,Flour,Dealer9,1202,29-01-2025,Bangalore,2
BF2025010015,Flour,Dealer6,507,30-01-2025,Kolkata,2
BF2025010016,Flour,Dealer7,547,26-01-2025,Pune,1
BF2025010016,Flour,Dealer5,1540,29-01-2025,Mumbai,2
BF2025010016,Flour,Dealer26,3068,02-02-2025,Delhi,2
BF2025010016,Flour,Dealer24,2618,31-01-2025,Chennai,3
BF2025010016,Flour,Dealer29,1593,05-02-2025,Ahmedabad,3
BF2025010016,Flour,Dealer16,2221,10-02-2025,Mumbai,1
BF2025010016,Flour,Dealer1,2420,08-02-2025,Hyderabad,2
BF2025010017,Flour,Dealer12,1583,12-01-2025,Delhi,2
BF2025010017,Flour,Dealer30,1892,14-01-2025,Hyderabad,2
BF2025010017,Flour,Dealer18,1613,17-01-2025,Ahmedabad,3
BF2025010017,Flour,Dealer28,3123,22-01-2025,Ahmedabad,3
BF2025010017,Flour,Dealer26,2783,16-01-2025,Kolkata,2
BF2025010017,Flour,Dealer9,2651,28-01-2025,Bangalore,3
BF2025010018,Flour,Dealer21,1893,01-02-2025,Bangalore,1
BF2025010018,Flour,Dealer5,1710,05-02-2025,Kolkata,2
BF2025010018,Flour,Dealer28,2540,06-02-2025,Ahmedabad,2
BF2025010018,Flour,Dealer6,213,09-02-2025,Ahmedabad,3
