Batch_ID,FD_Product_Category,FD_Dealer_Name,FD_Dispatch_Quantity,FD_Unit,FD_Factory_Dispatch_Date,FD_City,FD_Transit
BF2025010001,Biscuit,Dealer16,1118,packages,6/1/2025,Delhi,2
BF2025010001,Biscuit,Dealer7,585,packages,9/1/2025,Kolkata,5
BF2025010001,Biscuit,Dealer19,2710,packages,12/1/2025,Pune,8
BF2025010001,Biscuit,Dealer6,616,packages,15-01-2025,Bangalore,11
BF2025010001,Biscuit,Dealer21,2346,packages,10/1/2025,Chennai,6
BF2025010001,Biscuit,Dealer14,4076,packages,16-01-2025,Ahmedabad,12
BF2025010001,Biscuit,Dealer1,672,packages,18-01-2025,Delhi,14
BF2025010002,Biscuit,Dealer27,1112,packages,10/1/2025,Ahmedabad,4
BF2025010002,Biscuit,Dealer14,1462,packages,13-01-2025,Mumbai,7
BF2025010002,Biscuit,Dealer20,1187,packages,12/1/2025,Kolkata,6
BF2025010002,Biscuit,Dealer5,973,packages,16-01-2025,Delhi,10
BF2025010002,Biscuit,Dealer26,319,packages,14-01-2025,Pune,8
BF2025010003,Biscuit,Dealer17,3510,packages,28-01-2025,Mumbai,4
BF2025010003,Biscuit,Dealer28,2569,packages,29-01-2025,Ahmedabad,5
BF2025010003,Biscuit,Dealer30,752,packages,3/2/2025,Delhi,10
BF2025010003,Biscuit,Dealer22,3825,packages,6/2/2025,Pune,13
BF2025010003,Biscuit,Dealer14,2545,packages,9/2/2025,Kolkata,16
BF2025010004,Biscuit,Dealer12,2458,packages,29-01-2025,Kolkata,4
BF2025010004,Biscuit,Dealer28,1261,packages,30-01-2025,Bangalore,5
BF2025010004,Biscuit,Dealer2,2011,packages,2/2/2025,Chennai,8
BF2025010004,Biscuit,Dealer23,917,packages,1/2/2025,Bangalore,7
BF2025010004,Biscuit,Dealer17,2105,packages,10/2/2025,Kolkata,16
BF2025010004,Biscuit,Dealer14,2375,packages,8/2/2025,Chennai,14
BF2025010004,Biscuit,Dealer8,2190,packages,4/2/2025,Pune,10
BF2025010005,Biscuit,Dealer17,2532,packages,7/1/2025,Antalya,3
BF2025010005,Biscuit,Dealer1,9908,packages,9/1/2025,Kolkata,5
BF2025010005,Biscuit,Dealer13,5036,packages,13-01-2025,Hyderabad,9
BF2025010005,Biscuit,Dealer21,1313,packages,16-01-2025,Bangalore,12
BF2025010006,Biscuit,Dealer25,341,packages,23-01-2025,Mumbai,2
BF2025010006,Biscuit,Dealer7,1059,packages,26-01-2025,Chennai,5
BF2025010006,Biscuit,Dealer14,916,packages,27-01-2025,Delhi,6
BF2025010006,Biscuit,Dealer18,1873,packages,26-01-2025,Chennai,5
BF2025010006,Biscuit,Dealer26,1094,packages,4/2/2025,Kolkata,14
BF2025010006,Biscuit,Dealer27,1467,packages,2/2/2025,Pune,12
BF2025010006,Biscuit,Dealer16,754,packages,29-01-2025,Kolkata,8
BF2025010007,Chocolate,Dealer26,4588,packages,28-01-2025,Pune,3
BF2025010007,Chocolate,Dealer3,5836,packages,31-01-2025,Kolkata,6
BF2025010007,Chocolate,Dealer27,856,packages,1/2/2025,Bangalore,7
BF2025010007,Chocolate,Dealer5,2557,packages,6/2/2025,Pune,12
BF2025010008,Chocolate,Dealer21,3846,packages,29-01-2025,Chennai,4
BF2025010008,Chocolate,Dealer16,4205,packages,1/2/2025,Delhi,7
BF2025010008,Chocolate,Dealer15,2341,packages,4/2/2025,Pune,10
BF2025010008,Chocolate,Dealer1,879,packages,4/2/2025,Chennai,10
BF2025010008,Chocolate,Dealer7,3542,packages,10/2/2025,Pune,16
BF2025010009,Chocolate,Dealer3,1788,packages,13-01-2025,Bangalore,2
BF2025010009,Chocolate,Dealer9,1081,packages,16-01-2025,Hyderabad,5
BF2025010009,Chocolate,Dealer25,534,packages,17-01-2025,Bangalore,6
BF2025010009,Chocolate,Dealer13,40,packages,16-01-2025,Chennai,5
BF2025010009,Chocolate,Dealer12,1876,packages,21-01-2025,Kolkata,10
BF2025010010,Chocolate,Dealer9,1456,packages,8/1/2025,Bangalore,4
BF2025010010,Chocolate,Dealer6,988,packages,11/1/2025,Ahmedabad,7
BF2025010010,Chocolate,Dealer14,4018,packages,12/1/2025,Ahmedabad,8
BF2025010010,Chocolate,Dealer17,12934,packages,11/1/2025,Hyderabad,7
BF2025010011,Chocolate,Dealer22,158,packages,31-01-2025,Pune,4
BF2025010011,Chocolate,Dealer15,1459,packages,3/2/2025,Bangalore,7
BF2025010011,Chocolate,Dealer19,2290,packages,2/2/2025,Bangalore,6
BF2025010011,Chocolate,Dealer1,1559,packages,3/2/2025,Kolkata,7
BF2025010011,Chocolate,Dealer16,529,packages,12/2/2025,Hyderabad,16
BF2025010011,Chocolate,Dealer4,727,packages,5/2/2025,Delhi,9
BF2025010011,Chocolate,Dealer9,2201,packages,12/2/2025,Hyderabad,16
BF2025010012,Chocolate,Dealer7,3398,packages,4/1/2025,Chennai,2
BF2025010012,Chocolate,Dealer29,4522,packages,5/1/2025,Hyderabad,3
BF2025010012,Chocolate,Dealer19,2480,packages,6/1/2025,Mumbai,4
BF2025010012,Chocolate,Dealer9,992,packages,7/1/2025,Mumbai,5
BF2025010012,Chocolate,Dealer6,3655,packages,16-01-2025,Ahmedabad,14
