Batch_ID,FM_Product_Name,FM_Product_Category,FM_Manufacturing_Date,FM_Factory_Location,FM_Manufacturing_Quantity,FM_Unit
BF2025010001,Marie Gold,Biscuit,04-01-2025,Kolhapur,12123,packages
BF2025010002,Krackjack,Biscuit,06-01-2025,Kolhapur,5053,packages
BF2025010003,Marie Gold,Biscuit,24-01-2025,Kolhapur,13201,packages
BF2025010004,Hide & Seek,Biscuit,25-01-2025,Kolhapur,13317,packages
BF2025010005,Marie Gold,Biscuit,04-01-2025,Kolhapur,18789,packages
BF2025010006,Good Day,Biscuit,21-01-2025,Kolhapur,7504,packages
BF2025010007,Perk,Chocolate,25-01-2025,Kolhapur,13837,packages
BF2025010008,Dairy Milk,Chocolate,25-01-2025,Kolhapur,14813,packages
BF2025010009,Mars,Chocolate,11-01-2025,Kolhapur,5319,packages
BF2025010010,Snickers,Chocolate,04-01-2025,Kolhapur,19396,packages
BF2025010011,Kit Kat,Chocolate,27-01-2025,Kolhapur,8923,packages
BF2025010012,Munch,Chocolate,02-01-2025,Kolhapur,19385,packages
BF2025010013,Rice Flour,Flour,03-01-2025,Kolhapur,16991,packages
BF2025010014,Rice Flour,Flour,16-01-2025,Kolhapur,17461,packages
BF2025010015,Besan,Flour,18-01-2025,Kolhapur,7103,packages
BF2025010016,Multigrain Flour,Flour,22-01-2025,Kolhapur,14007,packages
BF2025010017,Ragi Flour,Flour,06-01-2025,Kolhapur,13645,packages
BF2025010018,Jowar Flour,Flour,28-01-2025,Kolhapur,8470,packages
BF2025010019,Maida,Flour,18-01-2025,Kolhapur,16680,packages
BF2025010020,Jowar Flour,Flour,10-01-2025,Kolhapur,16004,packages
BF2025010021,Uncle Chips,Chips,15-01-2025,Pune,6982,packages
BF2025010022,Pringles,Chips,08-01-2025,Pune,6049,packages
BF2025010023,Lays,Chips,11-01-2025,Pune,14638,packages
BF2025010024,Pringles,Chips,18-01-2025,Pune,14641,packages
BF2025010025,Lays,Chips,08-01-2025,Pune,6163,packages
BF2025010026,Lays,Chips,23-01-2025,Pune,8750,packages
