Batch_ID,RR_Retailer_Name,RR_Receipt_Date,RR_Received_Quantity,RR_Stock_as_on,RR_Stock_as_on_Date,RR_City,RR_Transit
BF2025010001,R155,25-01-2025,183,99,07-02-2025,Delhi,2
BF2025010001,R183,26-01-2025,186,129,13-02-2025,Delhi,1
BF2025010001,R104,27-01-2025,58,37,06-02-2025,Delhi,2
BF2025010001,R85,27-01-2025,20,11,06-02-2025,Delhi,1
BF2025010001,R58,02-02-2025,173,106,15-02-2025,Delhi,2
BF2025010001,R47,04-02-2025,52,34,14-02-2025,Delhi,2
BF2025010005,R109,14-01-2025,1428,863,01-02-2025,Kolkata,1
BF2025010005,R6,16-01-2025,1620,981,09-02-2025,Kolkata,1
BF2025010005,R20,16-01-2025,424,339,28-01-2025,Kolkata,1
BF2025010005,R92,18-01-2025,1770,1213,30-01-2025,Kolkata,2
BF2025010005,R16,18-01-2025,1438,883,31-01-2025,Kolkata,1
BF2025010005,R132,24-01-2025,125,88,10-02-2025,Kolkata,1
BF2025010005,R182,20-01-2025,1077,880,30-01-2025,Kolkata,1
BF2025010005,R196,28-01-2025,264,191,17-02-2025,Kolkata,1
BF2025010005,R164,31-01-2025,1762,1158,18-02-2025,Kolkata,2
BF2025010008,R79,12-02-2025,124,88,28-02-2025,Chennai,2
BF2025010008,R38,14-02-2025,163,101,03-03-2025,Chennai,2
BF2025010008,R90,16-02-2025,11,7,11-03-2025,Chennai,2
BF2025010008,R7,18-02-2025,140,112,15-03-2025,Chennai,2
BF2025010008,R118,16-02-2025,10,5,01-03-2025,Chennai,2
BF2025010008,R57,17-02-2025,100,71,03-03-2025,Chennai,2
BF2025010008,R135,23-02-2025,88,58,17-03-2025,Chennai,1
BF2025010008,R35,25-02-2025,171,121,21-03-2025,Chennai,1
BF2025010008,R12,20-02-2025,66,41,17-03-2025,Chennai,2
BF2025010008,R52,20-02-2025,6,4,04-03-2025,Chennai,1
BF2025010011,R18,08-02-2025,308,203,22-02-2025,Kolkata,1
BF2025010011,R69,10-02-2025,37,19,01-03-2025,Kolkata,2
BF2025010011,R47,12-02-2025,172,131,24-02-2025,Kolkata,1
BF2025010011,R65,15-02-2025,89,49,01-03-2025,Kolkata,2
BF2025010011,R121,16-02-2025,244,156,04-03-2025,Kolkata,1
BF2025010011,R72,13-02-2025,173,122,24-02-2025,Kolkata,1
BF2025010011,R22,20-02-2025,281,183,17-03-2025,Kolkata,1
BF2025010011,R92,15-02-2025,255,166,09-03-2025,Kolkata,1
BF2025010016,R116,12-02-2025,40,23,22-02-2025,Hyderabad,2
BF2025010016,R175,14-02-2025,447,285,08-03-2025,Hyderabad,2
BF2025010016,R93,13-02-2025,201,115,05-03-2025,Hyderabad,1
BF2025010016,R191,18-02-2025,41,33,12-03-2025,Hyderabad,2
BF2025010016,R127,19-02-2025,344,289,13-03-2025,Hyderabad,1
